//**************************************************************************************************************
//File Type: Amalfi PA Test Measurment Data Log File
//Log File Format Version: 1
//Test Type:Auto Script
//Serial Number: xAM7801-TA5-T-U-CG-SN005S
//Part Number (Chip ID): Unknown
//Chip Model: Chiarlo TxM 7801
//DUT Test GUI Version Number: Rev. A1.00.293
//FPGA Version Number: 21
//PICC Version Number: 13
//Station Number: 2
//Test Date & Time: 02-21-2010 19:1:55
//Temperature Soak Time (in secs): Test @ Ambient
//Script File Name: l:\Lab & Testing\XS\TXM\Spec Test\AM7801\AM7801_TA5_Reg1_X3_Spurs_ATR2_HPath.txt
//ATR Correlation Log File Not Found.
//Comment:
//**************************************************************************************************************
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	VRamp Search Directory	VRamp Search Start(Volt)	VRamp Search Stop(Volt)	TRP Target Power(dBm)	Waveform File Name	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment	
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.9	0.0	0.0	-8.35	837.0	3.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	45.814696	45.811401	33.081652	8.001652	1.26995	3.49441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:20	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.9	0.0	0.0	-8.35	837.0	2.7	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	46.02364	46.019328	31.933014	6.853014	1.25896	2.693448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:20	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.9	0.0	0.0	-8.35	837.0	4.5	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	37.365472	37.360323	33.256947	8.176947	1.26048	4.494571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:22	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.9	0.0	0.0	-8.35	837.0	3.5	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	45.926474	45.919892	33.086482	8.006482	1.26833	3.494241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:23	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.9	0.0	0.0	-8.35	837.0	2.7	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	46.133014	46.124374	31.925292	6.845292	1.25372	2.693499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:24	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.9	0.0	0.0	-8.35	837.0	4.5	6.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	37.354563	37.344304	33.262135	8.182135	1.26236	4.494554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:26	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.9	0.0	0.0	-8.35	837.0	3.5	6.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	45.912311	45.899189	33.089339	8.009339	1.2695	3.494396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:27	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.9	0.0	0.0	-8.35	837.0	2.7	6.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	46.18736	46.1701	31.924784	6.844784	1.25211	2.693474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:27	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.87	0.0	0.0	-8.37	849.0	4.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	37.79002	37.787464	33.328658	8.278658	1.26707	4.49457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:30	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.87	0.0	0.0	-8.37	849.0	3.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	46.121102	46.11783	33.119998	8.069998	1.27274	3.494302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:31	No comments(this is a filler only).
