-4.148, -4.235, -4.296, -4.299, -4.638, -4.77, -4.898, -4.919, -5.087, -5.508, -5.978, -6.239, -6.747, 
-4.124, -4.232, -4.302, -4.293, -4.631, -4.782, -4.913, -4.913, -5.079, -5.534, -6.017, -6.27, -6.804, 
-4.149, -4.261, -4.331, -4.315, -4.654, -4.809, -4.935, -4.945, -5.103, -5.555, -6.028, -6.315, -6.831, 
-4.214, -4.28, -4.378, -4.358, -4.695, -4.839, -4.952, -4.991, -5.158, -5.549, -6.094, -6.371, -6.867, 
-4.18, -4.228, -4.305, -4.37, -4.688, -4.863, -4.964, -5.035, -5.136, -5.567, -6.042, -6.352, -6.832, 
-4.166, -4.293, -4.367, -4.321, -4.628, -4.811, -4.906, -4.953, -5.042, -5.472, -5.987, -6.242, -6.719, 
-4.217, -4.3, -4.379, -4.376, -4.686, -4.838, -4.91, -4.927, -4.996, -5.379, -6.026, -6.313, -6.849, 
-4.302, -4.383, -4.462, -4.469, -4.786, -4.94, -5.014, -5.044, -5.123, -5.243, -6.125, -6.451, -7.136, 
18.505, 21.964, 17.214, 16.496, 17.723, 15.842, 19.946, 17.283, 13.705, 23.992, 19.751, 16.309, 19.915, 
27.417, 23.113, 28.596, 21.298, 23.331, 21.09, 23.919, 28.429, 24.638, 27.065, 23.409, 31.464, 23.379, 
23.464, 22.759, 22.303, 21.992, 21.851, 22.067, 22.414, 22.579, 22.535, 22.56, 23.564, 24.402, 24.167, 
23.38, 22.654, 22.289, 21.855, 21.759, 22.059, 22.206, 22.397, 22.643, 22.695, 24.066, 24.084, 24.959, 
23.256, 22.672, 22.184, 21.864, 21.633, 22.052, 22.243, 22.388, 22.493, 22.715, 23.981, 23.961, 24.846, 
23.251, 22.668, 22.182, 21.863, 21.649, 22.03, 22.212, 22.375, 22.517, 22.744, 24.055, 24.03, 24.862, 
23.262, 22.672, 22.186, 21.874, 21.646, 22.042, 22.216, 22.378, 22.526, 22.746, 24.023, 24.021, 24.838, 
23.272, 22.685, 22.196, 21.884, 21.66, 22.053, 22.224, 22.391, 22.544, 22.758, 24.037, 24.034, 24.844, 
23.282, 22.691, 22.206, 21.894, 21.67, 22.062, 22.239, 22.401, 22.551, 22.771, 24.048, 24.042, 24.85, 
20.756247, 20.988843, 21.062428, 21.24236, 21.546896, 21.636896, 21.54486, 21.478762, 21.411055, 22.349421, 22.22231, 22.002716, 25.416515, 
21.387211, 21.627606, 21.69278, 21.883323, 22.252436, 22.427235, 22.476973, 22.502895, 22.53435, 23.32364, 23.809006, 24.285317, 27.015158, 
21.459888, 21.687405, 21.749551, 21.934267, 22.330446, 22.518763, 22.592814, 22.602723, 22.662021, 23.3968, 24.032344, 24.640942, 27.1476, 
21.443062, 21.66727, 21.73356, 21.918947, 22.314636, 22.506936, 22.585392, 22.595685, 22.651972, 23.40061, 24.042726, 24.66911, 27.151564, 
21.398379, 21.65311, 21.699978, 21.889685, 22.287405, 22.489041, 22.552007, 22.573882, 22.603202, 23.354539, 24.01, 24.642719, 27.121024, 
21.413942, 21.63927, 21.704879, 21.890651, 22.292552, 22.484064, 22.561327, 22.567292, 22.623516, 23.360592, 24.055881, 24.657367, 27.134024, 
21.410616, 21.630317, 21.693313, 21.888654, 22.280684, 22.476684, 22.553922, 22.560632, 22.617769, 23.363345, 24.044516, 24.643454, 27.116407, 
21.41961, 21.642391, 21.705573, 21.900622, 22.29443, 22.485539, 22.560355, 22.573946, 22.629357, 23.376749, 24.05454, 24.652279, 27.112821, 
21.432998, 21.656891, 21.719539, 21.911877, 22.304548, 22.496898, 22.57408, 22.584549, 22.639473, 23.38951, 24.072118, 24.661143, 27.123176, 
